old_path	new_path	byte_size	sha256	content_frozen	role	tracked
paper/figures/F1_ips_architecture.pdf	docs/paper/figures/F1_ips_architecture.pdf	36210	676bf598f6cfc25984c54b145c4bb162f92311d9accc6345aed76134d31aeff4	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/F1_ips_architecture.png	docs/paper/figures/F1_ips_architecture.png	166497	a8da0ba2e2257778b195b0c55261537d0b5c44ca6e1b21a5b7816e80b3cfb5c2	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/F2_partition_authority.pdf	docs/paper/figures/F2_partition_authority.pdf	33730	b5c2ac07d212f44314ccfc2cb05f42e903f62af5e32cdfc29290a8d9693ccc9d	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/F2_partition_authority.png	docs/paper/figures/F2_partition_authority.png	166345	5ce9f349cf088288646482e583ab983b738054a70659455b9b8c67ed3ca57359	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/F3_episode_reasoning.pdf	docs/paper/figures/F3_episode_reasoning.pdf	26888	7d1a18682f8bbd4ebaa9b722e61653e838d74c8c3fbbea38dda84f2115d53b95	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/F3_episode_reasoning.png	docs/paper/figures/F3_episode_reasoning.png	130623	45ffe5da4fdf87981fcaaf7e0455c0a1a63d586e8d1cd81d4e1cab8f7f7fa01f	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/F4_representation_geometry.pdf	docs/paper/figures/F4_representation_geometry.pdf	29648	cdb68f6e47138fe03e22756c63f1438bcbda6ad8a72b7adecf22f3af2cf03145	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/F4_representation_geometry.png	docs/paper/figures/F4_representation_geometry.png	94651	59ac382335ab276634304e9dae5875b2dc603f10732e7a4529579c10f4e9ae76	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/F5_guarded_generation.pdf	docs/paper/figures/F5_guarded_generation.pdf	34446	f48ec6e019759ef5813f1524f0090d30974de313098f0a06b04730808048fd01	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/F5_guarded_generation.png	docs/paper/figures/F5_guarded_generation.png	167911	48a1bd4d5d4c0206061a5e1e8c0e2b4852074254f81de946934becf403c56365	Y	FROZEN_PUBLICATION_ASSET	Y
paper/figures/README.md	docs/paper/figures/README.md	6178	2557f18fcc54f7b446bce27355b4bad7db97627b3e4c74573aa964a1830813a7	N	LIVE_PAPER_SOURCE	Y
paper/figures/make_f1_f2_f5.py	docs/paper/figures/make_f1_f2_f5.py	9969	3eb5a2fcd40152ae190c21c26c85cb7380792b398a5d2044351573e4d53439a0	N	LIVE_PAPER_SOURCE	Y
paper/figures/make_f3_f4.py	docs/paper/figures/make_f3_f4.py	9159	b90c3ebb4a3f7fdff0165e704b4ecd79f435bb27816e7345046a11544dec1553	N	LIVE_PAPER_SOURCE	Y
handbook/CardioSentinel_Research_Execution_Handbook_v1.0.docx	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.0.docx	72977	669aecc2533e1604bdf0ed8809ec72c6e7129a93e2edb313292745d480674864	Y	FROZEN_HANDBOOK	Y
handbook/CardioSentinel_Research_Execution_Handbook_v1.1.docx	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.1.docx	79725	9a35813abc2a4e31266c5586bf65405a38681e68eb9bfa9722b39dbdee8b9c43	Y	FROZEN_HANDBOOK	Y
handbook/CardioSentinel_Research_Execution_Handbook_v1.2.docx	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.2.docx	61642	af08c216445995fc8cf1d299d0891b9e3b3df3cba4e198311656524a27b99ef9	Y	FROZEN_HANDBOOK	Y
handbook/CardioSentinel_Research_Execution_Handbook_v1.2.md	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.2.md	46051	7c7c42a3df43b688f6ab37e5447366374cb5508623b27e5440d87ef169273a32	Y	FROZEN_HANDBOOK	Y
handbook/CardioSentinel_Research_Execution_Handbook_v1.3.docx	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.3.docx	73731	cdc94ece27472ff625389d8b75546e3899a368f9cfcd83567bf6dae299325bf6	Y	FROZEN_HANDBOOK	Y
